LOC130453517	XP_056650550.1
LOC130453802	XP_056650623.1
LOC130453802	XP_056650626.1
LOC100619527	XP_056650560.1
LOC100619527	XP_056650586.1
LOC100619527	XP_056650554.1
LOC100619527	XP_056650566.1
LOC100619527	XP_056650557.1
LOC100619527	XP_056650563.1
LOC100619527	XP_056650600.1
LOC100619527	XP_056650573.1
LOC100619527	XP_056650593.1
LOC100619527	XP_056650583.1
LOC100619527	XP_056650578.1
LOC100619527	XP_056650569.1
LOC100010122	XP_056650618.1
LOC100617771	XP_056650636.1
LOC100617771	XP_056650633.1
LOC100617771	XP_056650635.1
LOC100617771	XP_056650646.1
LOC100617771	XP_056650641.1
LOC103094291	XP_056650660.1
LOC103094291	XP_016282760.2
LOC103094291	XP_056650652.1
LOC103094291	XP_016282759.2
LOC103094291	XP_007506375.2
LOC103094291	XP_056650669.1
LOC103094291	XP_056650671.1
LOC130453808	XP_056650673.1
LOC130453809	XP_056650679.1
LOC130453809	XP_056650676.1
ZNF511	XP_056650717.1
TUBGCP2	XP_056650691.1
TUBGCP2	XP_056650685.1
ADAM8	XP_056650699.1
ADAM8	XP_056650705.1
ADAM8	XP_056650703.1
ADAM8	XP_056650712.1
ADAM8	XP_056650713.1
LOC100032792	XP_056650728.1
LOC100032792	XP_056650726.1
LOC100032792	XP_056650733.1
LOC130453788	XP_056650528.1
VENTX	XP_056650744.1
KNDC1	XP_056650783.1
KNDC1	XP_056650774.1
KNDC1	XP_056650767.1
KNDC1	XP_056650771.1
KNDC1	XP_056650760.1
KNDC1	XP_056650782.1
ADGRA1	XP_056650790.1
ADGRA1	XP_056650784.1
CFAP46	XP_056650794.1
LOC130453789	XP_056650534.1
LOC130453824	XP_056650799.1
PWWP2B	XP_056650818.1
LRRC27	XP_056650814.1
LRRC27	XP_056650800.1
LRRC27	XP_056650810.1
LRRC27	XP_056650805.1
STK32C	XP_056650847.1
STK32C	XP_056650843.1
STK32C	XP_007477553.2
STK32C	XP_056650837.1
STK32C	XP_056650840.1
DPYSL4	XP_056650855.1
LOC130453790	XP_056650537.1
JAKMIP3	XP_056650867.1
JAKMIP3	XP_056650865.1
JAKMIP3	XP_056650862.1
JAKMIP3	XP_056650873.1
JAKMIP3	XP_056650868.1
BNIP3	XP_007506673.1
PPP2R2D	XP_056650901.1
PPP2R2D	XP_056650882.1
PPP2R2D	XP_056650907.1
PPP2R2D	XP_056650908.1
PPP2R2D	XP_056650889.1
PPP2R2D	XP_056650894.1
PPP2R2D	XP_056650884.1
TCERG1L	XP_001372444.3
GLRX3	XP_007477550.1
C1H10orf143	XP_007477554.2
EBF3	XP_056650954.1
EBF3	XP_056651025.1
EBF3	XP_056650957.1
EBF3	XP_056651017.1
EBF3	XP_056651033.1
EBF3	XP_056650961.1
EBF3	XP_056651023.1
EBF3	XP_056650973.1
EBF3	XP_056650980.1
EBF3	XP_056651011.1
EBF3	XP_056650942.1
EBF3	XP_056650989.1
EBF3	XP_056650951.1
EBF3	XP_056650996.1
EBF3	XP_056650966.1
EBF3	XP_056651001.1
EBF3	XP_056650985.1
EBF3	XP_056651029.1
EBF3	XP_056650969.1
EBF3	XP_056651006.1
MGMT	XP_056651041.1
MKI67	XP_016283069.2
MKI67	XP_056651059.1
PTPRE	XP_056651082.1
PTPRE	XP_056651063.1
PTPRE	XP_056651077.1
PTPRE	XP_056651062.1
PTPRE	XP_056651064.1
PTPRE	XP_056651072.1
PTPRE	XP_056651066.1
PTPRE	XP_056651087.1
CLRN3	XP_007478011.2
FOXI2	XP_007478014.2
NPS	XP_016286748.1
LOC100020753	XP_056651119.1
LOC100020753	XP_056651113.1
LOC100020753	XP_056651121.1
INSYN2A	XP_056651128.1
LOC103102080	XP_056671020.1
C1H10orf90	XP_007478301.2
C1H10orf90	XP_056651146.1
C1H10orf90	XP_056651143.1
